,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
1549,Bronte,151.2609713,-33.89850195,96.0,9,8,500,90,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,200
1913,Alexandria,151.1999608,-33.90347311,97.0,101,4,500,50,2,1.5,1.0,1.0,Apartment,Entire home/apt,296,0,0,moderate,130
6303,Surry Hills,151.2131051,-33.8795467,90.0,83,1,500,99,2,1.0,0.0,1.0,Apartment,Entire home/apt,166,1,0,strict_14_with_grace_period,98
8726,Parramatta,151.0090696,-33.81476861,90.0,4,2,0,0,4,1.0,1.0,2.0,Apartment,Entire home/apt,31,1,0,flexible,120
5617,Sydney,151.2081436,-33.8649557,86.0,40,2,0,275,4,1.0,2.0,2.0,Apartment,Entire home/apt,355,1,0,moderate,229
5668,Palm Beach,151.3324786,-33.60485055,93.41241287,0,2,2000,350,8,3.0,4.0,4.0,House,Entire home/apt,143,0,0,strict_14_with_grace_period,1524
7557,Fairlight,151.2719225,-33.79848735,93.0,3,2,500,219,5,1.0,3.0,3.0,Apartment,Entire home/apt,15,0,0,flexible,375
3497,Bondi,151.2686204,-33.89388254,93.41241287,1,3,0,0,2,1.0,1.0,1.0,Apartment,Private room,89,1,0,flexible,100
755,Dee Why,151.2946789,-33.75535531,100.0,1,5,500,0,1,1.5,1.0,1.0,Bed and breakfast,Private room,365,0,0,strict_14_with_grace_period,250
89,Saint Leonards,151.1942971,-33.8204237,96.0,24,1,500,65,4,2.0,2.0,2.0,Apartment,Entire home/apt,5,1,1,flexible,229
8924,Kingsford,151.2339019,-33.92138584,100.0,2,4,0,0,2,1.5,1.0,1.0,Apartment,Private room,0,0,0,flexible,45
3263,Narrabeen,151.2999769,-33.71072104,100.0,4,2,1000,50,3,1.0,1.0,2.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,96
8927,Newtown,151.174349,-33.8935791,100.0,1,1,300,0,2,1.0,1.0,1.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,111
1943,Mascot,151.1894669,-33.923236,100.0,8,2,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,120
7563,Maroubra,151.2493227,-33.95223126,80.0,2,3,150,60,4,2.0,2.0,2.0,House,Entire home/apt,90,1,0,strict_14_with_grace_period,225
1916,Bronte,151.2597063,-33.9072121,93.41241287,0,7,500,70,2,1.0,1.0,1.0,Apartment,Private room,365,1,0,strict_14_with_grace_period,161
433,Freshwater,151.2791179,-33.77651892,100.0,9,3,0,0,2,1.0,1.0,1.0,Apartment,Private room,71,0,1,flexible,49
9314,Bondi Beach,151.2671418,-33.88728707,100.0,3,7,0,79,2,1.0,0.0,1.0,Apartment,Entire home/apt,43,1,0,strict_14_with_grace_period,59
3461,Dulwich Hill,151.1385328,-33.91051359,95.0,8,2,300,60,5,1.0,2.0,4.0,Apartment,Entire home/apt,35,1,1,moderate,150
5788,Scotland Island,151.2945912,-33.64220768,100.0,1,2,1000,120,2,1.0,1.0,2.0,Cabin,Private room,364,1,0,strict_14_with_grace_period,210
2336,Surry Hills,151.2133893,-33.87750519,96.0,57,1,0,40,2,1.0,1.0,1.0,Condominium,Private room,12,1,0,moderate,93
529,Parramatta,151.0055153,-33.810008,94.0,14,180,360,149,6,2.0,3.0,3.0,Apartment,Entire home/apt,278,0,0,moderate,199
9882,Bondi Beach,151.2790086,-33.88081693,100.0,17,3,500,105,2,1.0,1.0,1.0,Apartment,Entire home/apt,144,1,1,strict_14_with_grace_period,94
8719,Scotland Island,151.2953009,-33.64080314,96.0,15,2,2000,180,2,1.0,1.0,1.0,Cabin,Entire home/apt,362,1,0,strict_14_with_grace_period,360
5555,Alexandria,151.1877754,-33.90683208,95.0,30,7,0,60,2,1.0,1.0,1.0,Apartment,Private room,1,1,1,moderate,59
3119,Manly,151.284259,-33.79835509,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,70
9545,Surry Hills,151.2137232,-33.88108778,93.41241287,0,1,0,0,2,1.0,1.0,2.0,Apartment,Private room,0,0,0,flexible,70
1593,Bellevue Hill,151.2565743,-33.88914156,93.41241287,0,7,200,20,1,1.0,1.0,1.0,House,Private room,0,1,0,moderate,70
4473,Rozelle,151.1729075,-33.86748598,100.0,1,2,0,0,6,3.0,3.0,3.0,House,Entire home/apt,0,0,0,moderate,250
4582,Mosman,151.2505281,-33.83970177,100.0,4,1,0,30,4,1.0,2.0,2.0,House,Private room,8,1,1,flexible,220
6275,Longueville,151.1644977,-33.83208258,97.0,51,1,0,0,2,1.0,1.0,1.0,House,Private room,241,0,1,moderate,65
3681,Marrickville,151.1588827,-33.900824,93.41241287,0,1,0,0,1,2.0,1.0,1.0,House,Private room,0,0,0,flexible,32
2567,Bondi Beach,151.2739217,-33.88967788,87.0,9,5,300,100,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,173
4100,Clovelly,151.2643551,-33.9124658,93.41241287,0,6,0,0,6,1.0,3.0,3.0,House,Entire home/apt,0,1,0,flexible,233
4937,Mosman,151.2458331,-33.82321169,97.0,62,2,0,40,2,1.0,1.0,2.0,Apartment,Private room,132,1,1,moderate,59
7360,Haymarket,151.2017417,-33.88072138,93.0,64,1,139,70,4,1.0,1.0,2.0,Apartment,Entire home/apt,219,1,0,strict_14_with_grace_period,169
5170,Bondi,151.2630363,-33.89325279,93.0,57,1,0,40,3,1.0,0.0,2.0,Apartment,Entire home/apt,110,0,0,strict_14_with_grace_period,120
2710,Glebe,151.1877264,-33.87592188,80.0,1,1,0,0,2,1.5,1.0,1.0,House,Private room,0,1,0,flexible,100
4194,Redfern,151.2112946,-33.89552345,100.0,1,2,200,50,2,2.0,1.0,1.0,House,Private room,89,0,0,moderate,120
1678,Maroubra,151.2522917,-33.94476547,90.0,2,13,500,0,3,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,moderate,74
5002,Avalon Beach,151.3311334,-33.63800377,80.0,1,2,800,50,3,1.0,2.0,2.0,Apartment,Entire home/apt,179,0,0,moderate,200
4930,Maianbar,151.1296147,-34.07975891,93.41241287,0,5,500,100,8,1.5,3.0,4.0,House,Entire home/apt,0,0,0,moderate,490
7843,Bondi,151.2720217,-33.89592246,96.0,29,5,500,200,3,1.0,2.0,2.0,Apartment,Entire home/apt,364,1,0,strict_14_with_grace_period,250
6327,Crows Nest,151.2034967,-33.82785132,100.0,1,5,0,0,1,1.0,1.0,1.0,House,Private room,0,1,0,flexible,110
4005,Beaconsfield,151.2013063,-33.91009309,100.0,1,2,0,0,2,1.0,0.0,1.0,House,Private room,0,0,0,flexible,65
9646,Manly,151.2847665,-33.79828175,97.0,82,2,1000,175,4,1.0,2.0,4.0,Apartment,Entire home/apt,186,0,1,moderate,190
4,North Bondi,151.2751434,-33.8839576,93.41241287,0,7,5000,540,12,4.0,6.0,7.0,House,Entire home/apt,63,1,0,strict_14_with_grace_period,2550
4385,Avalon,151.3184357,-33.6257993,98.0,88,2,200,50,2,1.0,1.0,1.0,House,Entire home/apt,262,0,1,strict_14_with_grace_period,179
7817,Bondi,151.2621095,-33.89661336,93.41241287,0,14,0,0,2,1.0,1.0,2.0,House,Private room,0,0,0,flexible,119
3665,Mosman,151.2340472,-33.82610067,100.0,3,7,500,200,6,2.0,3.0,4.0,House,Entire home/apt,18,1,0,strict_14_with_grace_period,501
5340,Woollahra,151.2453634,-33.88857742,93.41241287,0,7,2000,300,10,4.0,5.0,7.0,House,Entire home/apt,351,0,0,strict_14_with_grace_period,1000
3847,Darlinghurst,151.2189047,-33.8756742,80.0,3,3,0,10,2,1.0,0.0,2.0,Apartment,Entire home/apt,0,1,0,flexible,30
9595,Bondi Beach,151.2687872,-33.89076236,100.0,1,3,0,0,1,1.0,1.0,1.0,House,Private room,0,0,0,moderate,61
4689,Redfern,151.1994166,-33.89333393,100.0,8,2,200,40,2,1.0,1.0,1.0,Condominium,Private room,41,0,0,strict_14_with_grace_period,100
2352,Paddington,151.2308834,-33.88379812,87.0,3,2,0,55,3,1.0,2.0,1.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,135
