city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Bankstown,151.0407978,-33.91317977,95,4,6,0,100,4,1.5,2,2,Apartment,Entire home/apt,7,0,0,strict_14_with_grace_period,105
Zetland,151.2087559,-33.90626471,100,3,3,550,40,3,1,1,1,Apartment,Entire home/apt,57,1,0,flexible,140
Avalon Beach,151.3207729,-33.62341485,90,2,2,1000,150,9,3,5,6,House,Entire home/apt,365,1,0,strict_14_with_grace_period,1250
Darlinghurst,151.2242786,-33.87711746,93.41241287,0,1,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,59
Leichhardt,151.1505463,-33.8883643,99,39,2,0,60,2,1,1,1,House,Private room,362,1,0,strict_14_with_grace_period,125
Wolli Creek,151.1527858,-33.92905307,97,13,1,300,35,4,2,2,2,Apartment,Private room,364,1,0,strict_14_with_grace_period,299
Bankstown,151.0320314,-33.93155955,91,29,1,0,0,2,1.5,1,1,House,Private room,279,0,0,moderate,35
Potts Point,151.2254143,-33.86736178,80,2,7,0,35,2,1,1,1,Apartment,Private room,356,1,0,moderate,70
North Curl Curl,151.2981635,-33.76198665,100,6,5,2000,300,12,5,6,7,House,Entire home/apt,251,1,0,moderate,1050
Darlinghurst,151.2136877,-33.87762121,78,13,2,500,0,6,1,0,5,Apartment,Entire home/apt,343,1,0,strict_14_with_grace_period,209
Castle Hill,150.992776,-33.725123,85,4,3,0,10,2,1,1,1,House,Private room,173,0,0,moderate,55
Maroubra,151.2533508,-33.94243205,90,4,2,0,50,4,2,2,2,Condominium,Entire home/apt,65,0,0,flexible,299
Potts Point,151.2237259,-33.87147918,100,3,9,300,100,2,1,1,1,Apartment,Entire home/apt,333,0,0,strict_14_with_grace_period,120
Bundeena,151.155977,-34.08272853,95,12,2,700,0,6,2.5,3,3,House,Entire home/apt,332,0,0,moderate,580
Bondi Beach,151.2708751,-33.88954763,93.41241287,0,5,0,50,4,1,0,1,Serviced apartment,Entire home/apt,0,0,0,flexible,300
Rodd Point,151.1395188,-33.86611513,93.41241287,0,7,0,0,6,1.5,3,3,House,Entire home/apt,248,0,0,flexible,430
Chippendale,151.1975449,-33.88458957,92,49,3,250,140,2,1,0,1,Apartment,Entire home/apt,172,1,0,strict_14_with_grace_period,144
Dee Why,151.2894628,-33.75416772,80,1,5,0,40,2,2,1,1,Apartment,Entire home/apt,0,1,0,moderate,120
Randwick,151.2483877,-33.90340296,93,13,5,200,40,2,1,1,1,Apartment,Private room,1,0,0,strict_14_with_grace_period,91
Darlinghurst,151.2253443,-33.87808159,91,14,2,0,0,4,1,2,2,House,Entire home/apt,244,0,0,strict_14_with_grace_period,179
North Ryde,151.1354306,-33.80166331,100,1,1,133,90,2,1,1,1,House,Entire home/apt,0,1,0,strict_14_with_grace_period,160
Waterloo,151.2023333,-33.90223178,90,6,1,0,10,2,2,1,2,Hostel,Private room,172,0,0,strict_14_with_grace_period,120
Manly,151.2869423,-33.79347181,100,14,2,400,90,4,1,2,2,Apartment,Entire home/apt,82,1,0,moderate,295
Longueville,151.1703736,-33.83148131,93.41241287,0,14,0,0,10,3,5,7,House,Entire home/apt,0,0,0,flexible,3000
Clovelly,151.2654983,-33.91409565,100,1,2,0,0,4,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,228
Paddington,151.225839,-33.88066267,93.41241287,0,3,0,30,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,91
